id;team_identifier;ans_artifact;ans_correction_method_ica;ans_correction_method_ssp;ans_correction_method_cca;ans_correction_method_asr;ans_correction_method_unknown;ans_correction_method_other;ans_correction_method_desc;ans_ica_algo;ans_ica_algo_desc;ans_bad_comp_sel_visual;ans_bad_comp_sel_thresh;ans_bad_comp_sel_plugin;ans_bad_comp_sel_unknown;ans_bad_comp_sel_other;ans_bad_comp_sel_desc;ans_thresh_method;ans_plugin_desc;ans_artifact_corrected_eyeblink;ans_artifact_corrected_heye_mov;ans_artifact_corrected_muscle;ans_artifact_corrected_cardiac;ans_artifact_corrected_ch_noise;ans_artifact_corrected_line_noise;ans_artifact_corrected_unknown;ans_artifact_corrected_other;ans_artifact_corrected_desc;ans_artifact_other_hp;ans_artifact_comments;time_submitted
92;1559fd3bafe5582c;1;0;0;0;0;0;1;Gratton & Coles occular correction;;;0;0;0;0;0;;;;1;1;0;0;0;0;0;0;;;BrainVisionAnalyzer 2.2;2022-05-13 12:13:57
93;ff8cd5ce3123a097;1;1;0;0;0;0;0;;infomax;;1;0;0;0;1;correlation of component timecourses with EOG channels;N/A;;1;1;0;0;0;0;0;0;;;;2022-05-13 12:15:49
94;b47e0e61375f4d31;1;1;0;0;0;0;0;;infomax;;1;0;1;0;0;;;;1;0;0;0;0;0;0;0;;;;2022-05-13 12:19:13
95;3dc2c5916354971b;1;0;0;1;0;0;0;;;;1;1;0;0;0;;For CCA correction, I remove components with autocorrelation scoures lower than 0.9.;bsscca.m;1;0;1;0;1;1;0;0;;;I use the method proposed by Chen et al. to remove EMG and line noise (from subject No. 16 to subject No. 33) and vertical EOG (all subjects).;2022-05-13 12:29:02
96;9ab142ee3786b57b;1;1;0;0;0;0;0;;unknown;;0;0;1;0;0;;"Brain>= 0.7, brain components contribute more than 70% of the component are considered good
rvList < 0.15, components that have a residual variance of less than 15% of the IC scalp maps are considere";ICLabel;1;1;1;1;1;1;0;0;;;;2022-05-13 12:54:30
97;cac46c946621bc7c;1;1;0;0;0;0;0;;infomax;;0;0;1;0;0;;"* Excluded Independent Components (greater than; smaller than): 
 		 Brain Threshold:  
 		 Muscle Threshold: 0.8; 1 
 		 Heart Threshold: 0.8; 1 
 		 Eye Threshold: 0.8; 1 
 		 Line Noise Thres";ICLabel;1;1;1;1;1;1;0;0;;;;2022-05-13 13:02:19
98;ae58d64de88cfd4e;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;1;1;1;1;0;0;;;;2022-05-13 13:27:47
99;17a098cf2c77f087;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;0;;no;;1;1;1;0;1;0;0;0;;no;no;2022-05-13 14:46:41
100;9985e8ae6679b0e2;0;0;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;2022-05-13 15:09:55
101;HSU-HH;1;1;0;0;0;0;0;;picard;;1;0;0;0;0;;none;;1;1;0;0;0;0;0;0;;;;2022-05-13 16:15:16
102;f51bd6c2779b2256;1;1;0;0;0;0;0;;infomax;;0;0;1;0;0;;ICLabel: >70% eye/heart artifact;EEGLAB;1;0;0;1;0;0;0;0;;;;2022-05-13 16:48:26
103;ed45c2f3b0136a24;1;1;0;0;1;0;0;;infomax;;1;0;0;0;0;;Visual inspection;;1;1;1;1;1;1;0;0;;;;2022-05-13 16:49:04
